date,value
1976-01-30,880.47000000
1976-02-27,881.88000000
1976-03-31,903.47000000
1976-04-30,893.64000000
1976-05-28,879.52000000
1976-06-30,914.80000000
1976-07-30,907.82000000
1976-08-31,900.91000000
1976-09-30,920.72000000
1976-10-29,899.90000000
1976-11-30,899.25000000
1976-12-31,954.18000000
1977-01-31,918.86000000
1977-02-28,899.97000000
1977-03-31,888.81000000
1977-04-29,893.43000000
1977-05-31,882.18000000
1977-06-30,919.19000000
1977-07-29,905.66000000
1977-08-31,887.63000000
1977-09-30,887.45000000
1977-10-31,851.60000000
1977-11-30,882.39000000
1977-12-30,887.59000000
1978-01-31,836.79000000
1978-02-28,822.27000000
1978-03-31,847.81000000
1978-04-28,916.42000000
1978-05-31,930.65000000
1978-06-30,917.97000000
1978-07-31,969.18000000
1978-08-31,1004.15000000
1978-09-29,996.10000000
1978-10-31,886.92000000
1978-11-30,908.34000000
1978-12-29,922.77000000
1979-01-31,964.88000000
1979-02-28,935.84000000
1979-03-30,997.62000000
1979-04-30,1004.70000000
1979-05-31,981.15000000
1979-06-29,1028.23000000
1979-07-31,1038.16000000
1979-08-31,1097.81000000
1979-09-28,1101.82000000
1979-10-31,1020.04000000
1979-11-30,1075.40000000
1979-12-31,1100.71000000
1980-01-31,1176.99000000
1980-02-29,1171.65000000
1980-03-31,1026.03000000
1980-04-30,1075.93000000
1980-05-30,1127.14000000
1980-06-30,1165.14000000
1980-07-31,1242.57000000
1980-08-29,1267.49000000
1980-09-30,1300.90000000
1980-10-31,1330.26000000
1980-11-28,1466.64000000
1980-12-31,1404.60000000
1981-01-30,1342.17000000
1981-02-27,1351.44000000
1981-03-31,1415.04000000
1981-04-30,1401.08000000
1981-05-29,1410.97000000
1981-06-30,1391.40000000
1981-07-31,1382.29000000
1981-08-31,1297.20000000
1981-09-30,1208.44000000
1981-10-30,1277.45000000
1981-11-30,1326.22000000
1981-12-31,1286.24000000
1982-01-29,1247.35000000
1982-02-26,1170.37000000
1982-03-31,1153.70000000
1982-04-30,1201.46000000
1982-05-28,1157.85000000
1982-06-30,1125.13000000
1982-07-30,1099.70000000
1982-08-31,1219.94000000
1982-09-30,1235.79000000
1982-10-29,1377.33000000
1982-11-30,1435.37000000
1982-12-31,1451.59000000
1983-01-31,1508.98000000
1983-02-28,1548.13000000
1983-03-31,1600.06000000
1983-04-29,1716.89000000
1983-05-31,1729.91000000
1983-06-30,1791.70000000
1983-07-29,1733.45000000
1983-08-31,1734.15000000
1983-09-30,1757.86000000
1983-10-31,1707.46000000
1983-11-30,1747.26000000
1983-12-30,1723.62000000
1984-01-31,1692.65000000
1984-02-29,1616.94000000
1984-03-30,1633.98000000
1984-04-30,1635.44000000
1984-05-31,1540.08000000
1984-06-29,1571.33000000
1984-07-31,1536.91000000
1984-08-31,1702.10000000
1984-09-28,1698.07000000
1984-10-31,1692.87000000
1984-11-30,1666.92000000
1984-12-31,1702.01000000
1985-01-31,1845.24000000
1985-02-28,1868.27000000
1985-03-29,1859.77000000
1985-04-30,1852.76000000
1985-05-31,1948.25000000
1985-06-28,1977.84000000
1985-07-31,1972.98000000
1985-08-30,1953.10000000
1985-09-30,1871.23000000
1985-10-31,1949.96000000
1985-11-29,2076.72000000
1985-12-31,2164.69000000
1986-01-31,2184.11000000
1986-02-28,2335.94000000
1986-03-31,2455.24000000
1986-04-30,2434.17000000
1986-05-30,2548.89000000
1986-06-30,2577.65000000
1986-07-31,2419.31000000
1986-08-29,2570.85000000
1986-09-30,2360.48000000
1986-10-31,2475.41000000
1986-11-28,2503.60000000
1986-12-31,2434.95000000
1987-01-30,2743.00000000
1987-02-27,2867.81000000
1987-03-31,2929.67000000
1987-04-30,2873.94000000
1987-05-29,2883.10000000
1987-06-30,3004.91000000
1987-07-31,3134.55000000
1987-08-31,3245.83000000
1987-09-30,3170.98000000
1987-10-30,2443.29000000
1987-11-30,2259.44000000
1987-12-31,2417.12000000
1988-01-29,2517.81000000
1988-02-29,2635.73000000
1988-03-31,2583.95000000
1988-04-29,2608.52000000
1988-05-31,2602.61000000
1988-06-30,2729.65000000
1988-07-29,2702.23000000
1988-08-31,2613.45000000
1988-09-30,2706.67000000
1988-10-31,2750.80000000
1988-11-30,2690.03000000
1988-12-30,2738.42000000
1989-01-31,2917.26000000
1989-02-28,2857.86000000
1989-03-31,2915.07000000
1989-04-28,3053.13000000
1989-05-31,3162.61000000
1989-06-30,3137.01000000
1989-07-31,3377.40000000
1989-08-31,3440.84000000
1989-09-29,3426.66000000
1989-10-31,3320.35000000
1989-11-30,3367.64000000
1989-12-29,3419.88000000
1990-01-31,3163.30000000
1990-02-28,3201.21000000
1990-03-30,3273.46000000
1990-04-30,3172.33000000
1990-05-31,3448.48000000
1990-06-29,3424.37000000
1990-07-31,3384.37000000
1990-08-31,3053.60000000
1990-09-28,2879.34000000
1990-10-31,2833.99000000
1990-11-30,3015.02000000
1990-12-31,3101.36000000
1991-01-31,3245.35000000
1991-02-28,3484.85000000
1991-03-28,3583.67000000
1991-04-30,3587.92000000
1991-05-31,3719.30000000
1991-06-28,3545.47000000
1991-07-31,3705.89000000
1991-08-30,3795.04000000
1991-09-30,3743.98000000
1991-10-31,3807.08000000
1991-11-29,3649.99000000
1991-12-31,4041.10000000
1992-01-31,4027.77000000
1992-02-28,4071.25000000
1992-03-31,3961.55000000
1992-04-30,4008.71000000
1992-05-29,4021.51000000
1992-06-30,3930.33000000
1992-07-31,4083.85000000
1992-08-31,3985.00000000
1992-09-30,4024.36000000
1992-10-30,4067.78000000
1992-11-30,4223.41000000
1992-12-31,4289.74000000
1993-01-29,4336.92000000
1993-02-26,4342.87000000
1993-03-31,4444.30000000
1993-04-30,4316.12000000
1993-05-28,4438.55000000
1993-06-30,4449.57000000
1993-07-30,4443.28000000
1993-08-31,4601.55000000
1993-09-30,4601.84000000
1993-10-29,4672.77000000
1993-11-30,4583.82000000
1993-12-31,4657.83000000
1994-01-31,4798.07000000
1994-02-28,4678.39000000
1994-03-31,4457.69000000
1994-04-29,4494.72000000
1994-05-31,4525.52000000
1994-06-30,4395.22000000
1994-07-29,4519.80000000
1994-08-31,4705.97000000
1994-09-30,4605.82000000
1994-10-31,4674.18000000
1994-11-30,4490.58000000
1994-12-30,4540.62000000
1995-01-31,4631.40000000
